text,label
"lol, ""shoot to apprehend"". He is an idiot.",1
"This case has overshadowed the cops that murdered a kid with a fake sword in Saratoga Springs, Utah. I am just as much outraged by the Mike brown case. The murder that happened in Utah was just about the same deal. Cops are provided with non lethal weapons. The shooting in Utah unwarranted because he ran, don't know why he ran but if you lunged at the police with the fake sword you should have taken that opportunity for immediate action right then. He ran and was shot 6 times in the back. We know a large group of cops are corrupt and these murderers are nothing new. Though I have ran from the police many times when I was in my teens, cops just pursue and find him hiding some where. Not just put 6 bullets in the back ending a life. They said in some paper, Saratoga Springs has about 5% of black population.. I have been through there and I would say they were off by about 5%.",0
This man is a zionist jew look at ypu can see the jewnesss in his face cnn only employ zionist sympathisers and neo-con racists and wolf blitzer is the emplpyeee,1
"""There is blood on the street but you are worried about words"" .... we are ALL getting very tired with the way mainstream media is treating us like idiots who will follow their condescending, irrelevant, distracting, disparaging narrative... Step up CNN",0
"stop being criminals and you wont get shot, that simple",1
I LIKE TURTLES!,0
Massri needs an education.,1
CNN mother fuckers....fuck you peace of shit!,1
"Hers my statement, I think ali sheep butt fucker masri should take an ak and go fight in syria..",1
Hahahahaha. This guy is Ed Bassmaster's character ALWAYS TESTE. Ed Bassmaster has a semi-retarded character who is cross-eyed just like this guy,1
How do these childish cops sleep at night ?,0
A completely idiot having his minutrs of fame,1
I hope to god you guys is still not falling for the same ol banana in the tailpipe bullshit news that they're giving you,1
CNN is such Bullcrap!,1
"Alright. This entire case is crap. All of these people who are saying that white people are being racist, and calling them bad names is just as ""racist"", as you would like to call it, as us. There have been extensive investigations that prove that this boy's death was out of self defense. However, I am not defending the whole KKK thing. But, I am defending the helpless citizens of Ferguson. This boy died. I don't care if he was white or black. What I do care about is how the people in Ferguson are treating their town. If they really cared about this incident, they would hold memorials to express their feelings.This is not helping themselves get justice. What really matters is that this boy is dead. Something HAS been done about it. The Grand Jury has decided. Can it just be over?",0
This guy doesn't know what happened he didn't have his hands up,0
Ayy CNN are lookin like pussies,1
Smirconnish is the most even-handed guy in the world. This guy Masri is an idiot.,1
"Masri is a total idiot ""I don't have to know the evidence, I can just come to my own conclusions instead"" Here is a clue, dont attack a cop and try to take his gun and then rush him after he finally gets out of his car and you wont get shot duhhh. So what would Masri do, take Brown out for a icecream as he is beating him into the ground and not defend himself? BTW, Browns momma and gramma violently assaulted some people who were selling T-shirts in memory of Brown and put two people in the hospital, stole their money and trashed their shop and will probably be charged for it, so we all know what sort of mentality Brown was raised in and he was a thug wanna be, who caused his own death.",1
He had to take a break because Bassem was making too much sense for him to debate further.,0
"Let's reverse the rolls! Black racist cops in rich white communities.(but you can't prove there racist) When a white man gets pissed off at this intolerable condition. We unload several clips of high caliber ammo at point blank range for his audacity at questioning authority. All Americans need to be on full alert of this elitist agenda to set presidents of questioning authority. The elitist upper-class is the problem. Prison culture CIA drug Cartels. Exporting jobs and importing cheap labor, While the elitist get bailed out and support this corrupt system. We can turn this around when we c get past the race issue the Govt. incites to divide the working class, but you can hardly call it a working class because the Govt put everyone out of work. We are more of a homeless class. Let us not for get Western history and the role big money plays in this clusterfuck designed to destroy a Nation that is Destroyed at this point. We can get it back, ask me how.",1
This moron is talking about being peaceful? Their burning the nation's flag idiot. Even though that's what you are suppose to do when it's old so they have no knowledge. They are babies making noise.,1
"This is a CIA agent provocateur operative to kick-start the riots of the New American Civil War. He's not African American but his rehearsed ""Ebonics"" is transparent.",0
Can someone shoot this black idiot too? That would make me giggle inside :),1
You people are sick! This man is speaking the truth and y'all are just mad. Trying to justify why a young boy who did nothing was shot and killed smh. Y'all are the devil and a disease to this earth! I'll be glad when the sun burns all your asses into extinction and we can have our planet back! Half animal half devil cave beasts!!!,1
The world is changing im mad at the police too but id be dam if isis gonna come in here thats when its time to kill these faucks,1
"CNN is propaganda for the most part, and people let them hear it in Ferguson too.",0
"What a waste of time talking to that idiot. ""You know what Im sayin."" ""I'll believe what I want to believe.""- Yup- hell with facts or evidence. Loser.",1
"News fucktards...........puppet players,,,,,all they are paid liars",1
Bassem has the right to express himself....we have freedom of expression.....We all have that right....Its an amendment of the Constitution.....I dont think CNN is that competent after all.,0
"does this guy riot before or after work? Orrrr, let me guess he fucks off all day doing nothing.",1
Mr. Masri is 100% right couldn't say it any better myself.,0
Can anyone tell me why it is racist if a white man shoots a black man? Is it not racist when black man shoots a white man? Why do these cases turn instantly into racist ones it makes no sense.,0
Racial profiling and police intimidation? He robbed a store and got killed as a result. Fucking excuses man. Black people shouldn't have to get arrested when they commit a strong arm robbery. When black people get violent they shouldn't have to fear getting put down like an animal. He actually said we shouldn't have to worry about warrants. lol. Fucking piece of human garbage.,1
Wrong Mother Fucker. No shoot to apprehend,1
"Black and white crimes seems to be big topic in us after Ferguson case. I just came here to brag about Finnish cops that used firearm 6 times last year, 2 time towards human, 2 times to warn 2 times to kill wounded animal. 5 million ppl here and 0,5 gun per capita.",0
"and the heading reads, When the protesters take it too far",0
This Muslim man does not have anything in mind of peace. He wants to stir up dissonance and trouble among Americans by using racist accusations . THAT IS HIS MAN GOAL.,1
"Add another imbecile to the bunch, reporter is a incompetent bastard",1
This interviewer is right. This guy should show some respect to the paramilitary police that are killing and getting away with it. Ha!,1
You all are some dumb as people,1
bassem I think walmart is hiring for the holidays. get a job loser!!!,1
Teen faces life in prison for pot brownies. 90 year old man gets arrested for feeding the poor. Police officer is set free with no charges whatsoever for killing a teenager. Don't you people see how wrong this is?,0
"""you know what I'm sayin""... wow",0
"YEah You are right 1 white shot a black all hell break lose , black shot black no protest maybe if they start doing protest on black shotting black , you can buy in thier story ,",1
"Lets Steal from a convenience store then lets go and punch a cop in the face and get shot 6 times, then lets get all the black people and white apologists to run around the street setting buildings on fire, fucking dirty gutter rats all living on welfare and causing violence , just look where the rest of black people live... on the dirties Ebola plague ridden continent, lucky white countries can come over and cure their dumb asses.",1
I'm with this dude fuck the punk police,1
What a stupid arab. Police shoot to apprehend? Lmao That's not how it works when they are being attacked!,1
5:09 plain n simple truth,0
Lmfao why is this dude taking like that??? -_\ I hear him talking but I don't know what he's saying! Smh,0
"I do understand their anger, but war is not the answer!",0
Iz didn't do nuffinz!,0
"What an ignorant coward, full of emotion, estrogen and apathy. And where the hell did you come from? Fuckin racially ambiguous blackwashed loudmouth. They really chose a pathetic man to interview.",1
"That motherfucker was angry,and I understand why",1
Let's get this straight and present the facts as the mass media should have from the beginning. 18 yr old (by all legal aspects an adult) robs a convince store. The criminal later flees the seen and is aprehended by the police. Resists arrest and altercation occurs between the two. The police (as in every case similar to this uses force). Criminal is killed. The killing goes to court. A randomly selected jury views all the evidence and hears out all witnesses which pertain to the case. Radom jury reaches unanimous verdict of not guilty. Im sorry protestors I can't here over all this DEMOCRACY!,1
Do any of these protestors work for a living?? where do they get the (time) to do all this....,0
"If people would obey the law, like normal human beings. This would never happen. <- WINNER",0
No indictment...moving right along.,0
If you act like animals you get treated like animals,1
Michael Smerconish + Hack.,0
"Sure...they totally looked at FACTUAL evidence during that trial... More like special treatment. BUT HEY, we all knew that was going to happen, didn't we?",1
You tellin me if he did in fact steal swisher sweets is the value of his life...Just admit you all are racist quit being a bunch of FAGGOTT bitches,1
White man can't finish his sentence America needs to wake up!!the truth of murder is there!,1
I'll be sure to avoid getting in this guy's taxi cab.,0
FUCK MEDIA Bassem was right find something real to investigate. You're just exaggerating because you want more views and more MONEY. FUCK YOU SELFISH FUCKS These people are DISGUSTING. I don't know how they bare with their NASTY selves.,1
CNN youse guys going too far I'll tell you what you doing so that bad is going to happen very bad it's all going to benefit you I don't care how much money you have Ellen and better for you to be like all the rest was be careful what you put out there you put Russia in between this be careful we have kids,0
this guy here he needs to grow up.,0
"Shoot to apprehend? Easier said than done.. When the evidence was presented, Michael brown was still attackin darren after he was shot twice.... People have this misconception, like in the movies, that one gun shot anywhere to the body, will disable an attacker. This is a false belief.. There are cases of people still attacking or running after they've been shot 2-3 times. For god sake, 50 cent was shot 9 times and he's alive... When you're being attacked by a 6 ft 3 200 somthing pound person, and you're on your back, it's hard to say I""m just goin to shoot to apprehend. Had michael brown copnducted himself like a gentleman, this wouldn't have happened. He was an aggresive piece of shit, and this muslim shit head isn't any better. He's filled with rage and doesn't have the answer for anything. Progression comes from tolerance not violence.",1
"It's not about just Brown, it's about daily killings of non-whites by white cops and that's a reality.",0
How was this guy hired? What an idiot,1
This guy is a moron.,1
Cnn...so out of touch..close up idiots.. people are watching for the comedy of reporting.lol,1
"Bassem Masri is a criminal, a thug and a psychopath. He has no credibility, and no humanity. He needs to be locked in a jail cell. Time for the rubber-room and straight-jacket for Bassem. Get his intellectually dishonest butt out of the community.",1
CNN this is why you are a joke!,1
I wonder what the police expect will happen when they continually abuse and kill people ? Do they honestly expect the public to do nothing about it ? To just lay back and take it and let the cops just turn into one massive street gang who are allowed to kill without consequence? Even a rat when it's cornered will defend itself ..,1
"""I don't want my sons death to be in vain."" ""LET'S BURN THIS BITCH DOWN!"" Stupid fucks destroying livelihoods. Peaceful protests my fucking ass.",1
This guy is my hero.,0
"Did he say that the sound of him spitting is an ""Arab expression""?",0
I think that this indecent is unessacerry for the event of one person being shot. Mr. Brown stole something so it wasn't intirely the police officers fault.,0
"This is a genuine failure of leadership by the President of the United States. This nice town, Ferguson, should have been declared a state of emergency. It should have been put under martial law, federal troops should have stuffed the town, and non-residents should have been pushed out. Everyone knew there was going to be another riot. But...what did the President do? He didn't want to offend the black community. He didn't want anyone else to get shot. So he just let 'er burn baby burn. Seems to me, that a real leader could have had it both ways. Mr. President, sir, you have failed reprehensibly - and I do accuse you.﻿",1
"anyone know if they are irradiating commercial strawberry seeds, mine wont germinate ?",0
Arabs Hate black people. This ISIS sympathizer just wants to call it his community. Nonsense.,1
I can't for the life of me understand why people think that Mike Brown was a martyr for some cause. The man was a criminal. Are all black people criminals? Absolutely not. Are there white criminals? Hispanic criminals? You betcha. If the situation was EXACTLY the same but the races were reversed there would not be an issue at all.,1
Well done 👍,0
"Old mans way has been tried forever and how well did that worked, look where we are now.",0
3:44 U no wat im sayin,0
Without that badge they a bitch and a half. So fuck the police!!,1
"THIS ARAB PIECE OF SHIT,,, ACTING LIKE HE GETS HARRASSED,, HE OR HIS PARENTS OWN A STORE AND YET HE ACTS LIKE HE GETS TREATED LIKE BLACK PEOPLE LOL... the same people who steals from his store,, what a moron piece of shit",1
It's people like this guy that makes America shake it's head. Nawamsain'? No the fuck we don't.,0
"Police brutality affects everyone. It's not just a black issue, and when they made it a ""black"" issue that's when people who aren't black tend to stop listening. End racial profiling as if police don't fuck with everyone? Police don't care WHAT color you are, if you aren't a policeman they will fuck with you. If you look on youtube you will notice the brutality doesn't discriminate. So stop it with this racial bullshit, because if you want cops to finally be held accountable for their powertripping actions, you need to realize that playing the whole ""because I'm black, and only black, and black"" card, makes people who aren't black feel less sympathetic because every race here has had issues with them.",1
The only good CNN anchor I have ever seen...,0
Islamic Terrorist insighting hatred and violence under the disguise of an african citizen its time that american citizens realise their true enemy is islam and not black or white people,1
Fuck CNN you corrupt demon worshiping fools,1
This guy is a dumbass. He claims that policed hired thugs took his phone and shot off rounds without any evidence to back his claims.,1
"Mike browns father does NOT buy into it....he got caught on video saying ""Burn the bitch down"" reffering to Ferguson................and this dude you are interviwing is just a thug and should not be given air time.............",1
"Brown isused as an excuse to loot take peoples shit and destroy neighborhoods , haaaa typical ghetto bullshit. Ya ain't even hood, ya just ghetto bitches collecting free rent from the govt while fighting the govt. same occupy Wall Street fagets have nothing else to do , go clean the highways !!!!!",1
WTF!! Isn't this the guy who got mugged for his iphone 6 in ferguson?? That video was hilarious!!,0
"How many shots to disable one man ? If the officer felt so threatened was there a call for backup ? How many shots before one man cannot continue to threaten another ? With the transcript of witness evidence released there seems to more questions unanswered than answered, I pray for all involved that they might find some peace from a terrible encounter. Amen",0
"My thought of this ""waste of skin' catching his just desert at 3300fps wouldn't make me a popular guy with the ""no free people allowed"" party. But I don't live on the bookends of this country. The rest of you libshits' would do yourselves justice to know the MAJORITY of Real Americans despise you in every way. Know It and own it. Every day you continue to exist is because ying must have yang motherjumper!",1
"Wow, an a-hole that makes a CNN interviewer seem reasonable and balanced....",1
Never argue with an idiot,1
STFU YOU MUSLIM PIECE OF SHIT! the cops should have fired ten rounds into his ass. or better still... lets cut his head off and pour pigs blood down his throat. I am willing to bet it was them dirty fckn Islamic bastards that set those fires and not even the blacks that did.,1
I made a song addressing Ferguson and the issues today. Please listen and thank you Tha Bigger Picture - SoundCloud Listen to Tha Bigger Picture by Kool D #np on #SoundCloud,0
Michael Smerconish is a little bitch. I like how he subtly tries to insult the guy and the guy laughs at him. This really shows how low CNN will stoop and what a garbage hole CNN has become.. And what a piece of ass sucking work Michael Smerconish is. I guess it is no wonder why in my home we DON'T WATCH CNN. (CRAP NEWS NETWORK),1
"NO THANKSGIVEN OR CHRISTMAS for all the Owners of the Business that were Looted,stole from, Burned out for no good reason and NONE FOR YEARS TO COME, These People did NOTHING except serve the same ones that Burned them out. May God have mercy on you I WOULD NOT.",0
The grand jury amd processor have too much power in the justice system amd connections with other police departments that's what I'm sayin honestly,0
"They are protecting and serving us, from people like Michael Brown. The guy deserved to be killed, cry more about it...",1
"If that cop shot a white guy, there would not be any riots. But since he shot a black guy, everyone seems to think it was because he was black. Look at the evidence not skin color. Everyone always throws out the race card over crap like this.",0
"I find it amusing how all of these protesters claim they're fighting against racism but yet they are blind to their own racism. There have been several reports of black people attacking white people. Just a couple of days ago, it was reported that a white man was beaten to death with a hammer by black teens in St. Louis. Yeah clearly no racial intent there. Fucking hypocrites.",1
"EXCELLENT!! They'd (media-slaves) have us wait to speak out,,so this gets lost into the next tragedy.. there's a travesty happening here that's been going on since thee origins of USA. Nøbody is free. Thee illusion is real. & so is thee struggle. & we're experiencing the collision of this experiment. Psychological warfare through attrition. In typing that,,always be aware of baiting.. don't allow 'them' to create 'helter skelter'",0
"Michael Brown, rob a store assaulted the store owner. Then fought with a police officer Darren Wilson in and through the police window went for the officer gun, then was shot and killed. Brown did not have a shirt saying I'm not armed. This is what happens when you do criminal activity, regardless of the color of your skin. A linch mob mentality should not get there way, or public pressure when all the facts support Browns activity of the day. Some wonder if Brown wanted death (suicide) by cop for his family could sue.",1
this fucking fuck can't even defend himself properly what a joke,1
Wow.. Think I'm going to buy a bullet proof vest..shit! if your black it's like everybody is tryin' to shoot you.!,1
If a black officer shot a white guy it would be fine by black people. I'm not a racist.,1
"This delusional moron's anger is ONLY justified if Mike was, indeed, unjustly killed. If, on the other hand, Mike was a malicious person, and the shooting was justified, then all the rioting is not justified. NO ONE can know what happened there that day, so any riots are taking place on the basis of assumptions.",1
"OMG! IT'S A TERRORIST! AN ISIS UNDERCOVER-AGENT! What are you doing, Americans???? ARREST HIM!",1
Keep letting real people get in front of the camera... The truth will be told in its purest form.,0
criminal kids get shot by the police almost everyday. Plus Mike Brown has a bad criminal record and started the fight.,0
"The city is full of really, really, really dumb people. Can't try to reason with them.",1
This is not your counties go back to he middle east that's your counties b,1
"people get shot everyday, how come this is the only one thats getting attention",0
"Why is it that in the history of mankind where people of all color, creed and cultures have found a way to rise out of the ashes of oppression for their self betterment and self preservation, EXCEPT for the blacks??????????????! WHY? Please enlighten me to this unknown phenomena.",1
What a fucking douche bag,1
CNN needs to hire that man. He is a real American. We are in trouble.,1
"One feral hoodlum put down, the rest of us no longer need to fear his thuggish behavior. Upset about that? Blame his parents- they failed to raise him right and provide proper supervision. Or, he was just defective from the start. Either way sounds like a case of quality control to me. Thank you Officer Wilson for doing your job.",1
The US government is killing its population!,1
FAKE!!...CNN IS BS,1
We need to get back to basics. When these savages riot or protest use the German Shepard's. then shoot these animals...,1
Why the hell are they even interviewing him? This guy's such an idiot.,1
"Oh my God. I fucking love that Arab guy. Such wise words. He is seriously someone who has open eyes to the world. He sees things for how they are, which is so rare in our world today. A big fucking amen to that guy... Wake the fuck up America",1
"Mr. Smerconish, you Sir, are not a journalist. NO journalists say or claim to the interview object that he/she is searching for 15mins of fame just for being a part of the interview. And/or just because he/she did not speak in the direction you wanted them to. - If anything, it is you trying to DEFAME a person. And that is illegal! And you should definitively serve time for that! You should go back to school because it is truly obvious that you do not handle the word of mouth with care NOR are you critical enough of the Authorities! Why would you wait for tons of paper that shows what we all know...That he INDEED ran, stopped, hands in the air and got shot, multiple times. There should be no doubt from your side that this happened if the witnesses says so. There should be, however, an investigative journalist who goes out and ask the people. Your opinion is NOT superior! GET OFF YOUR CHAIR AND GO OUT AND DO SOME REAL REPORTING! SHAME ON YOU!!! And SHAME ON CNN FOR NOT HIRING PROFESSIONALS!!",1
That Arab is rapping 3:14 Go ahead bro....LOL So getto he is,1
Isn't this the dude who got knocked out and had his phone stolen in Ferguson?,0
"Bassem Masri is an uneducated idiot. Just listen the words coming out of his mouth, he sounds like a stupid little kid. Sorry, but please grow the fuck up and learn the laws instead of repeating ""FREEDOM OF SPEECH"", ""I'M A CITIZEN"", ""GO AHEAD BRO, I'LL LISTEN TO YOU"". Somebody shut this guy up.",1
"“Do White children deserve to have a future? Tens of millions of non-Whites flooding into White countries every year will, in a few decades, mean that Whites will be a minority in every country they founded. Black countries will remain majority Black, and Asian countries will remain majority Asian. Only White countries will be affected by this. This is genocide under international law. But anti-Whites don’t call it genocide; they call it diversity. Diversity means chasing down every last White child. Anti-racist is a codeword for anti-White.”",1
Bassem Masri well said bro!,0
"This guy an idiot, if that's the best you can do, you have lost already!! WHAT A BOZO!!",1
he can go back where he's from period big mouth MORON,1
Muslims like to spit on white people. Brought in by Muslims or nggrs I still wait for my big plasma cheap tv looted in some shop.,1
Yep a Muslim bitch,1
Masri is unemployed,1
"wait if they are in an area that has a majority of African Americans, doesn't it make since that the majority of people pulled over and searched or arrested in that same area would be African American as well?",0
"This video is liberal propaganda used to further divide people and fuel the chaos in Ferguson. Stay tuned for a trial with facts before deciding that ""evil white people"" are the source of all problems. And I mean straight up watch the trial, no fox news, CNN, or MSNBC.",0
People say blacks play the victim. But according to the comments its our fault that the elected officals are racists. Whites had a good thing going in Missouri but they had to be racist. All white folks do is point fingers. Take these punk bitches out of power. We goin back to racism. Deport everyone else.,1
"Protest was converted into riot because majority of people wanted it. Don't be fooled by politicians, they play serious games with common man. Take care everyone and save humanity. Peace!",0
"Worst TestTube video ever: some of the inequality is by choice: (""white flight""), and or via change in demographics, etc. But the remaining residents DO have a say: THEY VOTE and can put up their own nominees and go to city council meetings and put their grievances before the councilmen, etc. Besides, if this is the supposedly ""post-racial era"" in America, what does the race of leaders matter? Oh, BTW, the title asked what really caused the riots: seems from most accounts the answer is out-of-town LAWBREAKERS.",0
That punk did not get blasted for no reason!! If that cop didn't shoot him someone else would have!!,1
"A lot of people and the entire media is missing this huge crucial point: WHY was Micheal Brown even stopped in the first place??? The day it happened, the officer said that it was because Mike Brown was walking in the street. Then a few days later, it was because he had robbed a convenience store. Despite the fact that owner himself says that his store was never robbed. The officer was apparently in fear for his life. The PD claims he was ""seriously injured"" in the altercation with Mike Brown. Even though there is a video showing the officer, perfectly fine, standing by Mike's body an hour after the shooting. Also, Mike's body was 35 feet away from where the officer was when Mike apparently ""charged"" at him. Man, the police are full of shit. If you can't see that this shit was made up, then you're either a bigot or just a fucking idiot.",1
You can say black. This piece came off a bit stiff due to the repeated use of African American.,0
I live in St. Louis and it's scary.,0
"Ferguson just like any American city is not a prison. If those or any other residents feel that are mistreated, discriminated against, or subjected to illegall search and seizure then my advice is move! Our country is vast and I am confident they can find somewhere in our great nation where they can find a place to be happy and successful.",0
"I do believe that the correct word is caucasian not ""white"". Let's be correct in every regard. Great report though. I love the videos.",0
"In France, when I was in the military, they taught me that we could use a lethal weapon only if the other uses a similar/equal or superior lethal weapon against us or against another to defend ourselves; using a superior weapon is NOT/NEVER allowed. I think that's a Noble French concept. B)",0
"Perhaps you should start teaching blacks that law and education is important, instead of treating them as special snowflakes?",1
While I agree with most of your report and I certainly think that the events that went down in Ferguson need to be investigated. Your statistics to support a targeting of a particular race by number of stops and searches can certainly be explained away by the fact that most of the population in that region is of a particular race given a greater opportunity that someone who is stopped is most likely going to be of that race. I think further analysis would need to be conducted to make that collation. I am not saying race is not a factor. I am saying statistics can be misleading and need to be considered thoughtfully before stating them as support for a statement.,0
"Its funny doctors push drugs its legal, even tho prescription drugs are abused the most, whereas minorities get locked up for years because of marijuana known to be beneficial to the economy. The war on drugs started with the government who still supplies the streets to this day. Racial profiling is stupid. Caucasians commit the most mass shootings I don't see them being searched before they go in malls, movie theaters, schools etc",0
"So you're implying that because most of Ferguson is black, but most of their elected or appointed officials are white, that it means that the majority of people in Ferguson isn't represented at all? That they mostly black population wouldn't happen to have voted for or support the white officials? And just because its median income is lower than that of MO or the US as a whole, is that because its population is mostly black, or is it just a statistic?",0
"Ridiculous liberal tripe meant to divide us along race/class barriers even more If Blacks(I refuse to use the word African American) are oppressed by local Government then the community should band together and vote them out. Vote more blacks in. This is why we live in a Democratic Republic. Sorry, most of your arguments are nothing more than excuses and your criminal stats are the result of a large black community(68%?). Blacks really need to stop listening to Democrats who preach a, ""You cannot win because the deck is stacked against you"" oppressive lifestyle. They'll never rise above their current conditions if they cling to liberal excuses. It's not the color of your skin, its the overall presentation.",0
I might be wrong but when a majority of the black community don't vote wouldn't it make sense for there to be an inequality in the city government.,0
Is there something wrong with her voice?,0
"The more those people fuck up America, the more American will fucking hate them.",1
Bill Cosby caused them,0
"The US Justice Department has audited the Ferguson Police Department and found 180 counts of excessive use of police force against African-Americans from 2009-2014. In addition, they found 7 emails containing discriminatory language on Department computers. The Federal government is pursuing a criminal case against the Ferguson Police Department. I wonder if Bob McCulloch will try to defend this one.",0
Is there something wrong with the audio?,0
that's just flat out racist to say one race can't represent another equally. if majority blacks voted for the white people does that mean the blacks that voted didn't vote for their own best interest? and that the elected white official can't represent the black voters that put him/her in office?,0
"The report on the 'Inequality of Enforcement' statistics can be found in the description, and here: To those who are questioning the math here, please check it for yourself, we're not here to teach basic algebra! These numbers are not proportional. Our video scratches the surface, and we do encourage you to do supplemental research on their own if you wish to know more.",0
What's with all the dislikes? White people are that offended? You thought racism wasn't an issue anymore....think again,1
How come they call the 'blacks' African Americans but not European American to the 'whites' ?,0
Did the IDIOT reporter do the survey on the percent of blacks that are involved in the following:- Gang Activities ShopLifting Car Jacking Robberies Robberies with assault Teenage Pregnancies,1
"""Here there is no racism, here, you are all equally worthless!"" - Full Metal Jacket",0
"TestTube. Can you please explain to me how blacks get stopped and searched more than whites? If whites get make up 29% of the population and get searched 6.9% of the time while blacks make up 67% of the population and get searched 12.1% of the time, it's pretty obvious that whites are likely to get searched MORE. Do you want me to explain it further why that is or can you find someone in your team that actually remembers basic grade school math? I could go on and on about what is wrong about this video but it seems to have been already explained by others. Seriously, I do enjoy watching your channel, but the bias is strong with this one and almost made me want to unsubscribe.",0
"If the majority of the people in Ferguson are African American than why are their elected officials not African American? The mayor, city council, and police chief are all elected officials. Are the people in the community not stepping up to fill those roles?",0
My least favorite test tube video so far.,0
"heard a Billionaire funded these organised riots ,what a fucken suck joke",1
Please slow down! I cant tell if they sped up Ms Scully or if she was talking really quickly. Great video with great information it was just a little fast.,0
While i dont agree with police action to kill the boy but that does not mean you can protest by looting and destroying your own neighbourhood. That is stupid because it makes people don't want to support your struggle.,0
Fucking savages! Protest sumthing real... Like how your government is robbing you and sendin your kids to an elegal WAR! You are the laughing stock of America congrats!,1
i just came here to read the racist comments lol,0
sure some of the people protesting are actually protesting for what they believe in but then you have those people that are taking advantage of a sad situation just to cause so much chaos and damage to a hurting community,0
We need to come togather,0
Dont call peacefully protest.. When you burn down a car lol,0
"And in this section ladies and gentlemen, you will see black people misbehaving. I wonder what would happen if everyone rioted when court decisions do not go their way.",1
Dirtbags all of them. Including CNN,1
Why were protesters throwing stuff at the reporters,0
Guy @ 0:34 just got a hard on.....,0
"As I watched I kept muttering shoot, shoot, pull the trigger. Rubber bullets hurt like a MFer.",1
Send them to france,0
Fun Fact: they did not have live ammo in those guns they had rubber slugs,0
how fucking brain dead do you have to be to let the Nazi police scum bags just take you in,1
"""Dis be furgusun in de unitid stateth o' murka!"" - Retard starts violent protest and then tries to pawn off the 'police state' lie when the cops arrive.",1
GOD bless the Police.,0
"USA land of the free baby. HAHAHAHA! All you people not living in USA, should be thankful everyday. This is the worse country on earth.",1
Was this in Virginia?,0
